"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-03-01,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-02,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-03,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-04,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-05,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-06,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-08,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-09,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-10,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-11,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-12,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-13,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-14,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-15,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-16,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-17,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-18,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-19,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-21,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-22,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-23,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-24,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-25,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-26,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-27,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-28,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-29,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-30,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-03-31,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-01,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-02,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-03,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-04,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-05,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-06,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-07,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-08,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-09,67,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-10,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-11,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-12,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-13,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-14,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-15,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-16,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-17,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-18,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-19,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-20,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-21,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-22,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-23,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-24,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-25,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-27,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-28,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-29,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-04-30,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-01,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-02,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-03,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-04,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-05,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-06,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-08,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-09,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-10,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-11,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-12,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-13,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-14,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-15,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-16,93,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-17,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-18,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-19,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-21,17,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-22,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-23,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-24,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-25,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-26,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-27,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-28,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-29,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-30,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-05-31,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-06-01,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
2017-06-02,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138,-81.191
