"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-01-01,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-04,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-07,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-10,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-13,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-16,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-19,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-22,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-25,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-28,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-01-31,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-03,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-06,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-09,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-12,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-15,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-18,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-21,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-24,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-02-27,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-02,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-05,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-08,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-11,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-14,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-17,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-20,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-23,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-26,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-03-29,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-01,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-04,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-07,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-10,84,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-13,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-16,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-19,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-22,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-25,4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-04-28,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-01,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-04,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-07,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-10,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-13,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-16,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-19,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-22,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-25,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-05-31,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-03,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-06,16,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-09,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-12,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-15,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-18,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-21,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-24,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-27,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-06-30,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-03,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-06,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-09,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-12,32,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-15,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-18,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-21,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-24,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-27,47,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-07-30,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-02,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-05,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-08,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-11,27,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-14,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-17,21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-20,36,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-23,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-26,40,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-08-29,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-01,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-04,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-07,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-10,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-13,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-16,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-19,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-22,35,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-25,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-09-28,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-01,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-04,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-07,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-10,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-13,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-16,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-19,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-22,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-25,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-28,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-10-31,23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-03,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-06,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-09,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-12,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-15,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-18,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-21,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-24,31,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-27,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-11-30,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-12-03,29,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2017-12-06,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
